veld;volledig pad
burgerservicenummer;burgerservicenummer
geboorte;geboorte
geboorte.datum;geboorte.datum
geboorte.datum.type;geboorte.datum.type
datum.type;geboorte.datum.type
geboorte.datum.datum;geboorte.datum.datum
datum.datum;geboorte.datum.datum
geboorte.datum.onbekend;geboorte.datum.onbekend
datum.onbekend;geboorte.datum.onbekend
onbekend;geboorte.datum.onbekend
geboorte.datum.jaar;geboorte.datum.jaar
datum.jaar;geboorte.datum.jaar
jaar;geboorte.datum.jaar
geboorte.datum.maand;geboorte.datum.maand
datum.maand;geboorte.datum.maand
maand;geboorte.datum.maand
geheimhoudingPersoonsgegevens;geheimhoudingPersoonsgegevens
geslachtsaanduiding;geslachtsaanduiding
geslachtsaanduiding.code;geslachtsaanduiding.code
geslachtsaanduiding.omschrijving;geslachtsaanduiding.omschrijving
leeftijd;leeftijd
naam;naam
naam.adellijkeTitelPredicaat;naam.adellijkeTitelPredicaat
adellijkeTitelPredicaat;naam.adellijkeTitelPredicaat
naam.adellijkeTitelPredicaat.code;naam.adellijkeTitelPredicaat.code
adellijkeTitelPredicaat.code;naam.adellijkeTitelPredicaat.code
naam.adellijkeTitelPredicaat.omschrijving;naam.adellijkeTitelPredicaat.omschrijving
adellijkeTitelPredicaat.omschrijving;naam.adellijkeTitelPredicaat.omschrijving
naam.adellijkeTitelPredicaat.soort;naam.adellijkeTitelPredicaat.soort
adellijkeTitelPredicaat.soort;naam.adellijkeTitelPredicaat.soort
soort;naam.adellijkeTitelPredicaat.soort
naam.geslachtsnaam;naam.geslachtsnaam
geslachtsnaam;naam.geslachtsnaam
naam.volledigeNaam;naam.volledigeNaam
volledigeNaam;naam.volledigeNaam
naam.voorletters;naam.voorletters
voorletters;naam.voorletters
naam.voornamen;naam.voornamen
voornamen;naam.voornamen
naam.voorvoegsel;naam.voorvoegsel
voorvoegsel;naam.voorvoegsel
opschortingBijhouding;opschortingBijhouding
opschortingBijhouding.reden;opschortingBijhouding.reden
reden;opschortingBijhouding.reden
opschortingBijhouding.reden.code;opschortingBijhouding.reden.code
reden.code;opschortingBijhouding.reden.code
opschortingBijhouding.reden.omschrijving;opschortingBijhouding.reden.omschrijving
reden.omschrijving;opschortingBijhouding.reden.omschrijving
overlijden;overlijden
overlijden.indicatieOverleden;overlijden.indicatieOverleden
indicatieOverleden;overlijden.indicatieOverleden
verblijfplaats;verblijfplaats
verblijfplaats.type;verblijfplaats.type
verblijfplaats.adresregel1;verblijfplaats.adresregel1
adresregel1;verblijfplaats.adresregel1
verblijfplaats.adresregel2;verblijfplaats.adresregel2
adresregel2;verblijfplaats.adresregel2
verblijfplaats.adresregel3;verblijfplaats.adresregel3
adresregel3;verblijfplaats.adresregel3
verblijfplaats.land;verblijfplaats.land
land;verblijfplaats.land
verblijfplaats.land.code;verblijfplaats.land.code
land.code;verblijfplaats.land.code
verblijfplaats.land.omschrijving;verblijfplaats.land.omschrijving
land.omschrijving;verblijfplaats.land.omschrijving
verblijfplaats.functieAdres;verblijfplaats.functieAdres
functieAdres;verblijfplaats.functieAdres
verblijfplaats.functieAdres.code;verblijfplaats.functieAdres.code
functieAdres.code;verblijfplaats.functieAdres.code
verblijfplaats.functieAdres.omschrijving;verblijfplaats.functieAdres.omschrijving
functieAdres.omschrijving;verblijfplaats.functieAdres.omschrijving
verblijfplaats.woonplaats;verblijfplaats.woonplaats
woonplaats;verblijfplaats.woonplaats
verblijfplaats.verblijfplaatsOnbekend;verblijfplaats.verblijfplaatsOnbekend
verblijfplaatsOnbekend;verblijfplaats.verblijfplaatsOnbekend
verblijfplaats.locatiebeschrijving;verblijfplaats.locatiebeschrijving
locatiebeschrijving;verblijfplaats.locatiebeschrijving
